Sr No,Fund Name,AmfiCode,Nav Date,Nav,Benchmark Name,Benchmark Value
1,Kotak Equity Opportunities Fund,120158,01-Jan-2013,50.757,Nifty LargeMidcap 250 TRI,3054.32
2,Kotak Equity Opportunities Fund,120158,02-Jan-2013,51.178,Nifty LargeMidcap 250 TRI,3072.6
3,Kotak Equity Opportunities Fund,120158,03-Jan-2013,51.17,Nifty LargeMidcap 250 TRI,3086.34
4,Kotak Equity Opportunities Fund,120158,04-Jan-2013,51.229,Nifty LargeMidcap 250 TRI,3094.22
5,Kotak Equity Opportunities Fund,120158,07-Jan-2013,51.139,Nifty LargeMidcap 250 TRI,3088.68
6,Kotak Equity Opportunities Fund,120158,08-Jan-2013,51.238,Nifty LargeMidcap 250 TRI,3092.54
7,Kotak Equity Opportunities Fund,120158,09-Jan-2013,51.094,Nifty LargeMidcap 250 TRI,3078.68
8,Kotak Equity Opportunities Fund,120158,10-Jan-2013,51.081,Nifty LargeMidcap 250 TRI,3070.51
9,Kotak Equity Opportunities Fund,120158,11-Jan-2013,50.602,Nifty LargeMidcap 250 TRI,3041.01
10,Kotak Equity Opportunities Fund,120158,14-Jan-2013,51.05,Nifty LargeMidcap 250 TRI,3076.33
11,Kotak Equity Opportunities Fund,120158,15-Jan-2013,51.306,Nifty LargeMidcap 250 TRI,3086.28
12,Kotak Equity Opportunities Fund,120158,16-Jan-2013,50.522,Nifty LargeMidcap 250 TRI,3052.5
13,Kotak Equity Opportunities Fund,120158,17-Jan-2013,50.662,Nifty LargeMidcap 250 TRI,3063.19
14,Kotak Equity Opportunities Fund,120158,18-Jan-2013,50.674,Nifty LargeMidcap 250 TRI,3066.05
15,Kotak Equity Opportunities Fund,120158,21-Jan-2013,50.632,Nifty LargeMidcap 250 TRI,3069.64
16,Kotak Equity Opportunities Fund,120158,22-Jan-2013,50.405,Nifty LargeMidcap 250 TRI,3045.95
17,Kotak Equity Opportunities Fund,120158,23-Jan-2013,50.438,Nifty LargeMidcap 250 TRI,3034.74
18,Kotak Equity Opportunities Fund,120158,24-Jan-2013,49.74,Nifty LargeMidcap 250 TRI,2988.82
19,Kotak Equity Opportunities Fund,120158,25-Jan-2013,50.226,Nifty LargeMidcap 250 TRI,3030.71
20,Kotak Equity Opportunities Fund,120158,28-Jan-2013,50.253,Nifty LargeMidcap 250 TRI,3032.68
21,Kotak Equity Opportunities Fund,120158,29-Jan-2013,49.978,Nifty LargeMidcap 250 TRI,3017.23
22,Kotak Equity Opportunities Fund,120158,30-Jan-2013,49.971,Nifty LargeMidcap 250 TRI,3017.02
23,Kotak Equity Opportunities Fund,120158,31-Jan-2013,49.97,Nifty LargeMidcap 250 TRI,3024.19
24,Kotak Equity Opportunities Fund,120158,01-Feb-2013,49.89,Nifty LargeMidcap 250 TRI,3019.47
25,Kotak Equity Opportunities Fund,120158,04-Feb-2013,49.534,Nifty LargeMidcap 250 TRI,3004.84
26,Kotak Equity Opportunities Fund,120158,05-Feb-2013,49.245,Nifty LargeMidcap 250 TRI,2987.17
27,Kotak Equity Opportunities Fund,120158,06-Feb-2013,49.264,Nifty LargeMidcap 250 TRI,2990.02
28,Kotak Equity Opportunities Fund,120158,07-Feb-2013,49.055,Nifty LargeMidcap 250 TRI,2973.42
29,Kotak Equity Opportunities Fund,120158,08-Feb-2013,48.661,Nifty LargeMidcap 250 TRI,2955.04
30,Kotak Equity Opportunities Fund,120158,11-Feb-2013,48.738,Nifty LargeMidcap 250 TRI,2953.39
31,Kotak Equity Opportunities Fund,120158,12-Feb-2013,49.047,Nifty LargeMidcap 250 TRI,2956.84
32,Kotak Equity Opportunities Fund,120158,13-Feb-2013,49.136,Nifty LargeMidcap 250 TRI,2950.17
33,Kotak Equity Opportunities Fund,120158,14-Feb-2013,48.713,Nifty LargeMidcap 250 TRI,2921.61
34,Kotak Equity Opportunities Fund,120158,15-Feb-2013,48.659,Nifty LargeMidcap 250 TRI,2925.01
35,Kotak Equity Opportunities Fund,120158,18-Feb-2013,48.743,Nifty LargeMidcap 250 TRI,2934.94
36,Kotak Equity Opportunities Fund,120158,19-Feb-2013,49.118,Nifty LargeMidcap 250 TRI,2963.14
37,Kotak Equity Opportunities Fund,120158,20-Feb-2013,49.086,Nifty LargeMidcap 250 TRI,2963.01
38,Kotak Equity Opportunities Fund,120158,21-Feb-2013,48.261,Nifty LargeMidcap 250 TRI,2916.42
39,Kotak Equity Opportunities Fund,120158,22-Feb-2013,48.284,Nifty LargeMidcap 250 TRI,2916.59
40,Kotak Equity Opportunities Fund,120158,25-Feb-2013,48.172,Nifty LargeMidcap 250 TRI,2903.88
41,Kotak Equity Opportunities Fund,120158,26-Feb-2013,47.417,Nifty LargeMidcap 250 TRI,2857.41
42,Kotak Equity Opportunities Fund,120158,27-Feb-2013,47.85,Nifty LargeMidcap 250 TRI,2874.91
43,Kotak Equity Opportunities Fund,120158,28-Feb-2013,46.95,Nifty LargeMidcap 250 TRI,2815.96
44,Kotak Equity Opportunities Fund,120158,01-Mar-2013,47.124,Nifty LargeMidcap 250 TRI,2832.29
45,Kotak Equity Opportunities Fund,120158,04-Mar-2013,46.933,Nifty LargeMidcap 250 TRI,2805.89
46,Kotak Equity Opportunities Fund,120158,05-Mar-2013,47.688,Nifty LargeMidcap 250 TRI,2851.33
47,Kotak Equity Opportunities Fund,120158,06-Mar-2013,48.068,Nifty LargeMidcap 250 TRI,2873.84
48,Kotak Equity Opportunities Fund,120158,07-Mar-2013,48.349,Nifty LargeMidcap 250 TRI,2892.2
49,Kotak Equity Opportunities Fund,120158,08-Mar-2013,48.794,Nifty LargeMidcap 250 TRI,2924.01
50,Kotak Equity Opportunities Fund,120158,11-Mar-2013,48.775,Nifty LargeMidcap 250 TRI,2928.26
51,Kotak Equity Opportunities Fund,120158,12-Mar-2013,48.596,Nifty LargeMidcap 250 TRI,2911.97
52,Kotak Equity Opportunities Fund,120158,13-Mar-2013,47.925,Nifty LargeMidcap 250 TRI,2882.1
53,Kotak Equity Opportunities Fund,120158,14-Mar-2013,48.382,Nifty LargeMidcap 250 TRI,2904.55
54,Kotak Equity Opportunities Fund,120158,15-Mar-2013,48.009,Nifty LargeMidcap 250 TRI,2887.97
55,Kotak Equity Opportunities Fund,120158,18-Mar-2013,47.598,Nifty LargeMidcap 250 TRI,2876.49
